1,221,521,449,947,trousers,7,82,81,82,,
1,207,174,505,588,long_sleeve_outwear,3,138,134,134,sweatshirt,simple
2,226,433,456,957,trousers,7,147,124,93,,
3,255,453,495,933,trousers,7,28,31,31,,
3,246,177,520,580,long_sleeve_outwear,1,56,77,103,sweatshirt,printed
4,220,425,458,1050,trousers,7,56,50,31,,
4,214,160,497,590,long_sleeve_top,1,34,31,29,hoodie,simple
5,164,168,503,758,long_sleeve_outwear,3,165,140,115,hoodie,stripe
6,248,457,505,921,trousers,7,39,60,82,,
6,188,154,523,629,long_sleeve_outwear,3,48,39,30,sweatshirt,simple
7,236,458,462,950,trousers,7,52,69,90,,
7,198,197,508,568,long_sleeve_outwear,3,83,67,60,shirt,simple
8,239,488,460,950,trousers,7,52,66,79,,
8,203,155,460,553,long_sleeve_outwear,1,50,49,49,sweatshirt,simple
9,257,453,489,973,trousers,7,59,59,57,,
9,236,176,528,561,long_sleeve_outwear,1,196,187,171,shirt,simple
10,224,450,502,942,trousers,7,49,36,27,,
10,211,173,520,568,long_sleeve_outwear,3,138,85,57,shirt,simple
11,228,167,499,591,long_sleeve_outwear,3,88,68,47,sweatshirt,printed
12,222,490,495,957,trousers,7,150,101,67,,
12,213,182,553,593,long_sleeve_top,3,98,108,123,sweater,simple
13,223,174,524,698,long_sleeve_outwear,3,121,92,70,shirt,simple
13,185,455,509,971,trousers,7,169,141,110,,
14,223,437,486,941,trousers,7,27,27,19,,
14,188,175,511,572,long_sleeve_outwear,3,34,33,24,sweatshirt,simple
15,258,465,539,979,trousers,7,56,62,69,,
16,217,483,485,955,trousers,7,39,60,77,,
16,182,198,512,615,long_sleeve_outwear,3,34,36,36,shirt,simple
17,208,416,484,966,trousers,7,46,42,38,,
17,211,193,475,668,long_sleeve_outwear,3,71,64,59,shirt,stripe
18,269,431,447,954,trousers,7,85,83,65,,
18,207,175,481,561,long_sleeve_outwear,3,127,128,137,sweater,simple
19,273,450,469,892,trousers,7,63,62,62,,
19,225,156,501,529,long_sleeve_outwear,3,64,60,61,shirt,printed
20,243,455,436,951,trousers,7,102,112,119,,
20,169,177,511,547,long_sleeve_outwear,3,180,142,107,shirt,simple
